domain,url,brand_name,category,esp,source
100percentpure.com,https://100percentpure.com,100% Pure,natural color cosmetics,klaviyo,workflow
10deep.com,https://10deep.com,10 Deep,streetwear,klaviyo,workflow
1620usa.com,https://1620usa.com,1620 Workwear,performance workwear,klaviyo,workflow
19nine.com,https://19nine.com,19nine,apparel,klaviyo,workflow
1stphorm.com,https://1stphorm.com,1st Phorm,sports supplements,klaviyo,workflow
20x200.com,https://20x200.com,20x200,wall art,klaviyo,workflow
2modern.com,https://2modern.com,2Modern,furniture decor,klaviyo,workflow
2pood.com,https://2pood.com,2POOD,weightlifting belts,klaviyo,workflow
360cookware.com,https://360cookware.com,360 Cookware,cookware,klaviyo,workflow
3bears.de,https://3bears.de,3Bears,Breakfast / Food,klaviyo,workflow
3dmlifestyle.com,https://3dmlifestyle.com,3DM Lifestyle,lifestyle,klaviyo,workflow
3sixteen.com,https://3sixteen.com,Allbirds Apparel,denim,klaviyo,workflow
4-legger.com,https://4-legger.com,4-Legger,organic dog shampoo,klaviyo,workflow
4conly.com,https://4conly.com,4C Only,coily haircare,klaviyo,workflow
4hunnid.com,https://4hunnid.com,Born x Raised-adjacent 4Hunnid,streetwear,klaviyo,workflow
4moms.com,https://4moms.com,Lalo / 4moms,baby gear,klaviyo,workflow
54celsius.com,https://54celsius.com,54 Celsius (StinkyZoom),candles  home fragrance,klaviyo,workflow
54thrones.com,https://54thrones.com,54 Thrones,body care,klaviyo,workflow
a7.co,https://a7.co,A7 / Pioneer,powerlifting apparel,klaviyo,workflow
aarke.com,https://aarke.com,Aarke,kitchen & barware,klaviyo,workflow
aavrani.com,https://aavrani.com,AAVRANI,wellness & beauty,klaviyo,workflow
abbottlyon.com,https://abbottlyon.com,Abbott Lyon,jewellery,klaviyo,workflow
aberlite.com,https://aberlite.com,Aberlite,beard care,klaviyo,workflow
aboutface.com,https://aboutface.com,About-Face Beauty,color cosmetics,klaviyo,workflow
acebeaute.com,https://acebeaute.com,Ace Beaute,color cosmetics,klaviyo,workflow
acheerfulgiver.com,https://acheerfulgiver.com,A Cheerful Giver,candles,klaviyo,workflow
actandacre.com,https://actandacre.com,Act+Acre,haircare,klaviyo,workflow
activistskincare.com,https://activistskincare.com,Activist Skincare,skincare,klaviyo,workflow
acure.com,https://acure.com,Acure,skincare,klaviyo,workflow
adinareyter.com,https://adinareyter.com,Adina Reyter,fine jewelry,klaviyo,workflow
adoredbeast.com,https://adoredbeast.com,Adored Beast Apothecary,pet wellness,klaviyo,workflow
adozencousins.com,https://adozencousins.com,A Dozen Cousins,food,klaviyo,workflow
aeraforhome.com,https://aeraforhome.com,Aera,diffusers  home fragrance,klaviyo,workflow
aersf.com,https://aersf.com,Aer,bags,klaviyo,workflow
aeryliving.com,https://aeryliving.com,Aery Living,candles  diffusers,klaviyo,workflow
aevor.com,https://aevor.com,AEVOR,Bags & Accessories,klaviyo,workflow
aeyde.com,https://aeyde.com,Aeyde,Footwear & Accessories,klaviyo,workflow
afew-store.com,https://afew-store.com,Afew Store,sneakers,klaviyo,workflow
afieldout.com,https://afieldout.com,Stussy-adjacent Afield Out,streetwear,klaviyo,workflow
afrounicorn.com,https://afrounicorn.com,Afro Unicorn,apparel,klaviyo,workflow
aftco.com,https://aftco.com,AFTCO,fishing apparel,klaviyo,workflow
againfaster.com,https://againfaster.com,Again Faster,strength equipment,klaviyo,workflow
agentnateur.com,https://agentnateur.com,Agent Nateur,wellness & beauty,klaviyo,workflow
agolde.com,https://agolde.com,AGOLDE,denim,klaviyo,workflow
ahead-nutrition.com,https://ahead-nutrition.com,Ahead Nutrition,Food & Snacks,klaviyo,workflow
aimeleondore.com,https://aimeleondore.com,Aimé Leon Dore,apparel,klaviyo,workflow
alamarcosmetics.com,https://alamarcosmetics.com,Alamar Cosmetics,color cosmetics,klaviyo,workflow
alaninu.com,https://alaninu.com,Alani Nu,energy / supplements,klaviyo,workflow
albamclothing.com,https://albamclothing.com,Albam Clothing,menswear basics,klaviyo,workflow
albanypark.com,https://albanypark.com,Albany Park,furniture,klaviyo,workflow
albaray.co.uk,https://albaray.co.uk,Albaray,contemporary womens label,klaviyo,workflow
alemais.com,https://alemais.com,Alemais,contemporary womens label,klaviyo,workflow
alexandani.com,https://alexandani.com,Alex and Ani,Jewelry,klaviyo,workflow
alexcrane.co,https://alexcrane.co,Alex Crane,menswear basics,klaviyo,workflow
alexmill.com,https://alexmill.com,Alex Mill,menswear basics,klaviyo,workflow
algenist.com,https://algenist.com,Algenist,skincare,klaviyo,workflow
aligne.co,https://aligne.co,Aligne,contemporary womens label,klaviyo,workflow
alimapure.com,https://alimapure.com,Alima Pure,mineral makeup,klaviyo,workflow
alivebody.com.au,https://alivebody.com.au,al.ive body,personal care,klaviyo,workflow
alliesofskin.com,https://alliesofskin.com,Allies of Skin,skincare,klaviyo,workflow
allmatters.com,https://allmatters.com,OrganiCup (AllMatters),period care,klaviyo,workflow
allthebitter.com,https://allthebitter.com,All The Bitter,non-alcoholic bitters,klaviyo,workflow
aloha.com,https://aloha.com,Aloha,snacks/bars,klaviyo,workflow
alpakagear.com,https://alpakagear.com,Alpaka,bags & backpacks,klaviyo,workflow
altenew.com,https://altenew.com,Altenew,craft stamps & paper,klaviyo,workflow
alterecofoods.com,https://alterecofoods.com,Alter Eco,chocolate/pantry,klaviyo,workflow
amamaniere.com,https://amamaniere.com,A Ma Maniére,sneakers/streetwear,klaviyo,workflow
ambersceats.com,https://ambersceats.com,Amber Sceats,fashion jewelry,klaviyo,workflow
americancrew.com,https://americancrew.com,American Crew,mens grooming,klaviyo,workflow
americangirl.com,https://americangirl.com,American Girl,Toys,klaviyo,workflow
americantall.com,https://americantall.com,American Tall,menswear for tall men,klaviyo,workflow
americantrench.com,https://americantrench.com,American Trench,socks,klaviyo,workflow
aminoco.com,https://aminoco.com,Thorne alt - Amino Co,amino acid supplements,klaviyo,workflow
amiri.com,https://amiri.com,Amiri,streetwear/luxury,klaviyo,workflow
amoremattress.com,https://amoremattress.com,Amore Mattress,home,klaviyo,workflow
